"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr659","Seasearch Marine Surveys in the Channel Islands","doi:10.15468/0ppp4p","Seasearch ([Insert download year]). Seasearch Marine Surveys in the Channel Islands. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr659","Dives take place throughout the year but survey effort is generally concentrated between spring-autumn.","Data is available in Marine Recorder snapshot format on request.","","9"
"dr815","Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","doi:10.15468/awfvnp","Environment Agency ([Insert year of upload]). Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email marina.flamank@environment-agency.gov.uk, or https://registry.nbnatlas.org/public/show/dr815","","","","12"
"dr810","HBRG Other Invertebrates Dataset","doi:10.15468/r780rb","Highland Biological Recording Group ([Insert download year]). HBRG Other Invertebrates Dataset. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr810","","","","3"
"dp115","Manx Biological Recording Partnership","","Records provided by Manx Biological Recording Partnership, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp115","","","","1"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp116","","","","9"
"dp117","Conchological Society of Great Britain & Ireland","","Records provided by Conchological Society of Great Britain & Ireland, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp117","","","","468"
"dr2081","Loughs Agency Marine Survey Data","10.15468/9j3j3j","Centre for Environmental Data and Recording ([Insert download year]). Loughs Agency Marine Survey Data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2081","","","","26"
"dr690","Seasearch Marine Surveys in England","doi:10.15468/kywx6m","Seasearch ([Insert download year]). Seasearch Marine Surveys in England. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr690","","","","69"
"dr1793","Queens University Belfast Marine Research Data","10.15468/379w5t","Centre for Environmental Data and Recording ([Insert download year]). Queens University Belfast Marine Research Data. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) DAERA","For more information:  https://registry.nbnatlas.org/public/show/dr1793","","","","6"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  https://registry.nbnatlas.org/public/show/dr1236","","","","9"
"dp266","Natural History Museum, London","","Records provided by Natural History Museum, London, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp266","","","","1"
"dr2247","Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord","10.15468/zugq5h","Capturing our Coast (date of download) Data verified via iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2247","","","","2"
"dp109","Lancashire Environment Record Network","","Records provided by Lancashire Environment Record Network, accessed through NBN Atlas website.","","For more information: email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dp109","","","","2"
"dr2727","2014 Marine Biological Association (MBA) Yealm River non-native species timed search","","Marine Biological Association ([Insert download year]). 2014 Marine Biological Association (MBA) Yealm River non-native species timed search. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2727","","","","167"
"dr2728","2014 Marine Biological Association of the UK (MBA) Noss Mayo Yealm Estuary Transect Survey of Crassostrea gigas","https://doi.org/10.15468/u8by6f","Marine Biological Association ([Insert download year]). 2014 Marine Biological Association of the UK (MBA) Noss Mayo Yealm Estuary Transect Survey of Crassostrea gigas. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2728","","","","93"
"dr2530","2017-2018 North Devon Coast Area of Outstanding Natural Beauty (AONB) North Devon Species Census","https://doi.org/10.17031/y7r3y3","North Devon Coast Area of Outstanding Natural Beauty (AONB) (2021): 2017-2018 North Devon Coast Area of Outstanding Natural Beauty (AONB) North Devon Species Census. v2.0. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/y7r3y3","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2530","","","","2"
"dr1164","LERN Records","doi:10.15468/esxc9a","Lancashire Environment Record Network ([Insert download year]). LERN Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1164","","","","1"
"dr3029","2015 Marine Biological Association of the UK (MBA) Yealm Estuary Devon Transect Survey of Crassostrea gigas","https://doi.org/10.17031/64f05d2e6aa8e","Marine Biological Association of the UK (MBA) (2023): 2015 Marine Biological Association of the UK (MBA) Yealm Estuary Devon Transect Survey of Crassostrea gigas. v1.1. Marine Biological Association. Dataset/Samplingevent. 10.17031/64f05d2e6aa8e","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr3029","","","","178"
"dr1204","DASSH Data Archive Centre volunteer sightings records","doi:10.15468/xwiw3h","DASSH Data Archive Centre volunteer sightings records by Marine Biological Association under licence CC BY.
Released under DASSH terms and conditions – See http://www.dassh.ac.uk/terms-and-conditions","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1204","","","","4"
"dr1725","Ulster Museum Marine Surveys","10.15468/bj5xdk","Centre for Environmental Data and Recording ([Insert download year]). Ulster Museum Marine Surveys. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) National Museums Northern Ireland","For more information:  https://registry.nbnatlas.org/public/show/dr1725","","","","34"
"dr2613","Marine Recorder Snapshot extract of surveys entered by Sussex Wildlife Trust","","Records provided by Marine Recorder Snapshot extract of surveys entered by Sussex Wildlife Trust, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2613","","","","1"
"dr1926","Centre for Environmental Data and Recording (CEDaR) Marine Species Data","10.15468/reat6p","Centre for Environmental Data and Recording ([Insert download year]). Centre for Environmental Data and Recording (CEDaR) Marine Species Data. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) Centre for Environmental Data and Recording","For more information:  https://registry.nbnatlas.org/public/show/dr1926","","","","1"
"dr711","Seasearch Marine Surveys in Wales","doi:10.15468/4us2hk","Seasearch ([Insert download year]). Seasearch Marine Surveys in Wales. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr711","","","","1"
"dr755","NBIS Records to December 2016","doi:10.15468/jca5lo","Norfolk Biodiversity Information Service ([Insert download year]). NBIS Records to December 2016. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr755","","","","1"
"dr1928","Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data","10.15468/zqaqwm","Centre for Environmental Data and Recording ([Insert download year]). Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) Department of Agriculture Environment and Rural Affairs (DAERA)","For more information:  https://registry.nbnatlas.org/public/show/dr1928","","","","10"
"dp138","Environment Agency","","Records provided by Environment Agency, accessed through NBN Atlas website.","","For more information: email enquiries@environment-agency.gov.uk, or https://registry.nbnatlas.org/public/show/dp138","","","","12"
"dr756","Conchological Society of Great Britain & Ireland: marine mollusc records","doi:10.15468/aurwcz","Conchological Society of Great Britain & Ireland ([Insert year of download]), Conchological Society of Great Britain & Ireland: marine mollusc records. Occurrence dataset","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr756","","","","468"
"dp139","Centre for Environmental Data and Recording","","Records provided by Centre for Environmental Data and Recording, accessed through NBN Atlas website.","","For more information: email cedar.info@nmni.com, or https://registry.nbnatlas.org/public/show/dp139","","","","80"
"dr833","Natural England Marine Monitoring surveys","doi:10.15468/ysikg5","Natural England ([Insert download year]). Natural England Marine Monitoring surveys. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr833","","","","10"
